Currency,Rate,Base,Timestamp,Date
AED,3.6726,USD,1167584400,20061231
ALL,93.549407,USD,1167584400,20061231
AMD,446.474532,USD,1167584400,20061231
ANG,1.785,USD,1167584400,20061231
ARS,3.061623,USD,1167584400,20061231
AUD,1.270775,USD,1167584400,20061231
AWG,1.79,USD,1167584400,20061231
BBD,2.0,USD,1167584400,20061231
BDT,69.032821,USD,1167584400,20061231
BGN,1.486426,USD,1167584400,20061231
BHD,0.3765,USD,1167584400,20061231
BIF,1023.245226,USD,1167584400,20061231
BMD,1.0,USD,1167584400,20061231
BND,1.536222,USD,1167584400,20061231
BOB,7.989113,USD,1167584400,20061231
BRL,2.140181,USD,1167584400,20061231
BSD,1.0,USD,1167584400,20061231
BTN,44.252276,USD,1167584400,20061231
BWP,6.057177,USD,1167584400,20061231
BYR,2142.378679,USD,1167584400,20061231
BZD,1.9925,USD,1167584400,20061231
CAD,1.158645,USD,1167584400,20061231
CDF,485.515173,USD,1167584400,20061231
CHF,1.219161,USD,1167584400,20061231
CLP,532.779171,USD,1167584400,20061231
CNY,7.806294,USD,1167584400,20061231
COP,2232.64,USD,1167584400,20061231
CRC,517.713513,USD,1167584400,20061231
CVE,83.722096,USD,1167584400,20061231
CYP,0.43964,USD,1167584400,20061231
CZK,20.979665,USD,1167584400,20061231
DJF,177.721,USD,1167584400,20061231
DKK,5.666721,USD,1167584400,20061231
DOP,33.309727,USD,1167584400,20061231
DZD,71.148786,USD,1167584400,20061231
EEK,11.87338,USD,1167584400,20061231
EGP,5.71186,USD,1167584400,20061231
ETB,8.771657,USD,1167584400,20061231
EUR,0.760001,USD,1167584400,20061231
FJD,1.658667,USD,1167584400,20061231
FKP,0.509986,USD,1167584400,20061231
GBP,0.509986,USD,1167584400,20061231
GEL,1.714774,USD,1167584400,20061231
GIP,0.509871,USD,1167584400,20061231
GMD,27.766979,USD,1167584400,20061231
GNF,5554.419184,USD,1167584400,20061231
GTQ,7.631352,USD,1167584400,20061231
GYD,190.030597,USD,1167584400,20061231
HKD,7.77732,USD,1167584400,20061231
HNL,18.905,USD,1167584400,20061231
HRK,5.578635,USD,1167584400,20061231
HTG,37.464714,USD,1167584400,20061231
HUF,192.559067,USD,1167584400,20061231
IDR,9042.20478,USD,1167584400,20061231
IEP,0.697939,USD,1167584400,20061231
ILS,4.198191,USD,1167584400,20061231
INR,44.33136,USD,1167584400,20061231
IQD,1323.654503,USD,1167584400,20061231
IRR,9228.089484,USD,1167584400,20061231
ISK,70.713743,USD,1167584400,20061231
JMD,66.946997,USD,1167584400,20061231
JOD,0.70885,USD,1167584400,20061231
JPY,118.961013,USD,1167584400,20061231
KES,69.407064,USD,1167584400,20061231
KGS,38.101858,USD,1167584400,20061231
KHR,4046.935376,USD,1167584400,20061231
KMF,373.552012,USD,1167584400,20061231
KPW,170.012831,USD,1167584400,20061231
KRW,929.252565,USD,1167584400,20061231
KWD,0.289106,USD,1167584400,20061231
KZT,126.812084,USD,1167584400,20061231
LAK,9691.32126,USD,1167584400,20061231
LBP,1510.793272,USD,1167584400,20061231
LKR,107.44953,USD,1167584400,20061231
LRD,49.003667,USD,1167584400,20061231
LSL,6.977596,USD,1167584400,20061231
LTL,2.621716,USD,1167584400,20061231
LVL,0.53364,USD,1167584400,20061231
LYD,1.276692,USD,1167584400,20061231
MAD,8.458998,USD,1167584400,20061231
MDL,12.912165,USD,1167584400,20061231
MKD,46.594077,USD,1167584400,20061231
MMK,6.51,USD,1167584400,20061231
MNT,1162.087259,USD,1167584400,20061231
MOP,8.007554,USD,1167584400,20061231
MRO,268.937597,USD,1167584400,20061231
MTL,0.326496,USD,1167584400,20061231
MUR,33.24891,USD,1167584400,20061231
MVR,12.8,USD,1167584400,20061231
MWK,142.150246,USD,1167584400,20061231
MXN,10.855802,USD,1167584400,20061231
MYR,3.532251,USD,1167584400,20061231
NAD,7.022596,USD,1167584400,20061231
NGN,128.48463,USD,1167584400,20061231
NIO,17.828612,USD,1167584400,20061231
NOK,6.241603,USD,1167584400,20061231
NPR,69.851844,USD,1167584400,20061231
NZD,1.424346,USD,1167584400,20061231
OMR,0.384497,USD,1167584400,20061231
PAB,1.0,USD,1167584400,20061231
PEN,3.194719,USD,1167584400,20061231
PGK,2.934972,USD,1167584400,20061231
PHP,49.214596,USD,1167584400,20061231
PKR,60.872061,USD,1167584400,20061231
PLN,2.908884,USD,1167584400,20061231
PYG,5285.844089,USD,1167584400,20061231
QAR,3.64,USD,1167584400,20061231
RON,2.571642,USD,1167584400,20061231
RUB,26.210187,USD,1167584400,20061231
RWF,549.230334,USD,1167584400,20061231
SAR,3.75025,USD,1167584400,20061231
SBD,7.376724,USD,1167584400,20061231
SCR,5.446882,USD,1167584400,20061231
SEK,6.854885,USD,1167584400,20061231
SGD,1.537571,USD,1167584400,20061231
SHP,0.509986,USD,1167584400,20061231
SIT,182.470075,USD,1167584400,20061231
SKK,26.263771,USD,1167584400,20061231
SLL,2974.994875,USD,1167584400,20061231
SOS,1378.998276,USD,1167584400,20061231
STD,6780.039571,USD,1167584400,20061231
SVC,8.750688,USD,1167584400,20061231
SYP,52.992947,USD,1167584400,20061231
SZL,6.976776,USD,1167584400,20061231
THB,35.871549,USD,1167584400,20061231
TJS,3.213791,USD,1167584400,20061231
TND,1.297298,USD,1167584400,20061231
TOP,2.050339,USD,1167584400,20061231
TRY,1.416469,USD,1167584400,20061231
TTD,6.2505,USD,1167584400,20061231
TWD,32.606475,USD,1167584400,20061231
TZS,1263.094753,USD,1167584400,20061231
UAH,5.040087,USD,1167584400,20061231
UGX,1738.995995,USD,1167584400,20061231
USD,1.0,USD,1167584400,20061231
UYU,27.052293,USD,1167584400,20061231
UZS,1240.364465,USD,1167584400,20061231
VEF,2.15,USD,1167584400,20061231
VND,16044.445103,USD,1167584400,20061231
VUV,106.049758,USD,1167584400,20061231
WST,2.766637,USD,1167584400,20061231
XAF,495.357043,USD,1167584400,20061231
XCD,2.66748,USD,1167584400,20061231
XDR,0.665508,USD,1167584400,20061231
XOF,498.109543,USD,1167584400,20061231
XPF,93.079366,USD,1167584400,20061231
YER,195.724491,USD,1167584400,20061231
ZAR,7.017755,USD,1167584400,20061231
ZMK,4390.892487,USD,1167584400,20061231
ZWD,251.259462,USD,1167584400,20061231
