Currency,Rate,Base,Timestamp,Date
AED,3.673,USD,1716120007,20240519
AFN,71.479051,USD,1716120007,20240519
ALL,92.148131,USD,1716120007,20240519
AMD,386.030742,USD,1716120007,20240519
ANG,1.792758,USD,1716120007,20240519
AOA,849.0,USD,1716120007,20240519
ARS,881.603415,USD,1716120007,20240519
AUD,1.492315,USD,1716120007,20240519
AWG,1.8025,USD,1716120007,20240519
AZN,1.7,USD,1716120007,20240519
BAM,1.795053,USD,1716120007,20240519
BBD,2.0,USD,1716120007,20240519
BDT,116.488448,USD,1716120007,20240519
BGN,1.79898,USD,1716120007,20240519
BHD,0.375109,USD,1716120007,20240519
BIF,2853.833157,USD,1716120007,20240519
BMD,1.0,USD,1716120007,20240519
BND,1.340645,USD,1716120007,20240519
BOB,6.87348,USD,1716120007,20240519
BRL,5.1046,USD,1716120007,20240519
BSD,1.0,USD,1716120007,20240519
BTC,1.4849738e-05,USD,1716120007,20240519
BTN,82.888175,USD,1716120007,20240519
BWP,13.478959,USD,1716120007,20240519
BYN,3.254922,USD,1716120007,20240519
BZD,2.00514,USD,1716120007,20240519
CAD,1.36175,USD,1716120007,20240519
CDF,2775.346609,USD,1716120007,20240519
CHF,0.911919,USD,1716120007,20240519
CLF,0.032417,USD,1716120007,20240519
CLP,894.49773,USD,1716120007,20240519
CNH,7.2317,USD,1716120007,20240519
CNY,7.2232,USD,1716120007,20240519
COP,3807.1681,USD,1716120007,20240519
CRC,509.113839,USD,1716120007,20240519
CUC,1.0,USD,1716120007,20240519
CUP,25.75,USD,1716120007,20240519
CVE,101.202307,USD,1716120007,20240519
CZK,22.718,USD,1716120007,20240519
DJF,177.137312,USD,1716120007,20240519
DKK,6.8646,USD,1716120007,20240519
DOP,58.271764,USD,1716120007,20240519
DZD,134.641,USD,1716120007,20240519
EGP,46.817497,USD,1716120007,20240519
ERN,15.0,USD,1716120007,20240519
ETB,57.138454,USD,1716120007,20240519
EUR,0.917996,USD,1716120007,20240519
FJD,2.2282,USD,1716120007,20240519
FKP,0.789609,USD,1716120007,20240519
GBP,0.789609,USD,1716120007,20240519
GEL,2.75,USD,1716120007,20240519
GGP,0.789609,USD,1716120007,20240519
GHS,14.225139,USD,1716120007,20240519
GIP,0.789609,USD,1716120007,20240519
GMD,67.9,USD,1716120007,20240519
GNF,8550.158767,USD,1716120007,20240519
GTQ,7.728879,USD,1716120007,20240519
GYD,208.122561,USD,1716120007,20240519
HKD,7.80265,USD,1716120007,20240519
HNL,24.630351,USD,1716120007,20240519
HRK,6.93166,USD,1716120007,20240519
HTG,132.302326,USD,1716120007,20240519
HUF,355.834848,USD,1716120007,20240519
IDR,15964.5,USD,1716120007,20240519
ILS,3.692993,USD,1716120007,20240519
IMP,0.789609,USD,1716120007,20240519
INR,83.30055,USD,1716120007,20240519
IQD,1303.106358,USD,1716120007,20240519
IRR,42062.5,USD,1716120007,20240519
ISK,137.827556,USD,1716120007,20240519
JEP,0.789609,USD,1716120007,20240519
JMD,155.238398,USD,1716120007,20240519
JOD,0.7089,USD,1716120007,20240519
JPY,155.675,USD,1716120007,20240519
KES,129.815044,USD,1716120007,20240519
KGS,88.2093,USD,1716120007,20240519
KHR,4056.727037,USD,1716120007,20240519
KMF,452.72518,USD,1716120007,20240519
KPW,900.0,USD,1716120007,20240519
KRW,1354.39,USD,1716120007,20240519
KWD,0.305447,USD,1716120007,20240519
KYD,0.829058,USD,1716120007,20240519
KZT,442.311046,USD,1716120007,20240519
LAK,21233.2653,USD,1716120007,20240519
LBP,89083.661682,USD,1716120007,20240519
LKR,298.141268,USD,1716120007,20240519
LRD,193.499967,USD,1716120007,20240519
LSL,18.199716,USD,1716120007,20240519
LYD,4.808316,USD,1716120007,20240519
MAD,9.904364,USD,1716120007,20240519
MDL,17.601808,USD,1716120007,20240519
MGA,4408.264782,USD,1716120007,20240519
MKD,56.550873,USD,1716120007,20240519
MMK,2089.030434,USD,1716120007,20240519
MNT,3450.0,USD,1716120007,20240519
MOP,7.994585,USD,1716120007,20240519
MRU,39.39241,USD,1716120007,20240519
MUR,45.86,USD,1716120007,20240519
MVR,15.46,USD,1716120007,20240519
MWK,1724.752058,USD,1716120007,20240519
MXN,16.6086,USD,1716120007,20240519
MYR,4.687501,USD,1716120007,20240519
MZN,63.899991,USD,1716120007,20240519
NAD,18.199716,USD,1716120007,20240519
NGN,1470.0,USD,1716120007,20240519
NIO,36.620624,USD,1716120007,20240519
NOK,10.74065,USD,1716120007,20240519
NPR,132.620795,USD,1716120007,20240519
NZD,1.630125,USD,1716120007,20240519
OMR,0.38414,USD,1716120007,20240519
PAB,1.0,USD,1716120007,20240519
PEN,3.714928,USD,1716120007,20240519
PGK,3.863063,USD,1716120007,20240519
PHP,57.849995,USD,1716120007,20240519
PKR,277.089416,USD,1716120007,20240519
PLN,3.91811,USD,1716120007,20240519
PYG,7453.506874,USD,1716120007,20240519
QAR,3.62792,USD,1716120007,20240519
RON,4.5762,USD,1716120007,20240519
RSD,107.504295,USD,1716120007,20240519
RUB,90.991811,USD,1716120007,20240519
RWF,1287.870325,USD,1716120007,20240519
SAR,3.750049,USD,1716120007,20240519
SBD,8.475946,USD,1716120007,20240519
SCR,13.791015,USD,1716120007,20240519
SDG,601.0,USD,1716120007,20240519
SEK,10.716985,USD,1716120007,20240519
SGD,1.346,USD,1716120007,20240519
SHP,0.789609,USD,1716120007,20240519
SLL,20969.5,USD,1716120007,20240519
SOS,568.491005,USD,1716120007,20240519
SRD,32.183,USD,1716120007,20240519
SSP,130.26,USD,1716120007,20240519
STD,22281.8,USD,1716120007,20240519
STN,22.486348,USD,1716120007,20240519
SVC,8.704511,USD,1716120007,20240519
SYP,2512.53,USD,1716120007,20240519
SZL,18.194667,USD,1716120007,20240519
THB,36.101143,USD,1716120007,20240519
TJS,10.773255,USD,1716120007,20240519
TMT,3.5,USD,1716120007,20240519
TND,3.115,USD,1716120007,20240519
TOP,2.358712,USD,1716120007,20240519
TRY,32.243399,USD,1716120007,20240519
TTD,6.755083,USD,1716120007,20240519
TWD,32.1798,USD,1716120007,20240519
TZS,2581.42974,USD,1716120007,20240519
UAH,39.251434,USD,1716120007,20240519
UGX,3750.184241,USD,1716120007,20240519
USD,1.0,USD,1716120007,20240519
UYU,38.796116,USD,1716120007,20240519
UZS,12653.216969,USD,1716120007,20240519
VES,36.580744,USD,1716120007,20240519
VND,25448.530759,USD,1716120007,20240519
VUV,118.722,USD,1716120007,20240519
WST,2.8,USD,1716120007,20240519
XAF,602.165588,USD,1716120007,20240519
XAG,0.03181778,USD,1716120007,20240519
XAU,0.00041426,USD,1716120007,20240519
XCD,2.70255,USD,1716120007,20240519
XDR,0.753155,USD,1716120007,20240519
XOF,602.165588,USD,1716120007,20240519
XPD,0.00099069,USD,1716120007,20240519
XPF,109.546005,USD,1716120007,20240519
XPT,0.00092176,USD,1716120007,20240519
YER,249.899769,USD,1716120007,20240519
ZAR,18.32926,USD,1716120007,20240519
ZMW,25.391215,USD,1716120007,20240519
ZWL,322.0,USD,1716120007,20240519
